"id","ind","respuesta"
"acuddeh2011050601",197,"-1"
"acuddeh2011050602",198,"-1"
"acuddeh2011051101",199,"-1"
"acuddeh2011051301",200,"-1"
"rsf2011051701",201,"-1"
"cpj2011053101",202,"-1"
"cpj2011060101",203,"-1"
"cpj2011060201",204,"-1"
"rsf2011060501",205,"-1"
"cerezo2011060601",206,"-1"
"acuddeh2011060801",207,"-1"
"prodh2011060901",208,"-1"
"cpj2011061001",209,"-1"
"rsf2011061001",210,"-1"
"acuddeh2011061301",211,"-1"
"acuddeh2011061401",212,"-1"
"rsf2011061401",213,"-1"
"acuddeh2011061601",214,"-1"
"rsf2011062101",215,"-1"
"cpj2011062101",216,"-1"
"acuddeh2011062201",217,"-1"
"cerezo2011070401",218,"-1"
"a192011072101",219,"-1"
"a192011072102",220,"-1"
"a192011072103",221,"-1"
"a192011072104",222,"-1"
"a192011072105",223,"-1"
"a192011072106",224,"-1"
"a192011072107",225,"-1"
"a192011072108",226,"-1"
"a192011072109",227,"-1"
"a192011072110",228,"-1"
"a192011072111",229,"-1"
"a192011072112",230,"-1"
"a192011072113",231,"-1"
"a192011072114",232,"-1"
"a192011072115",233,"-1"
"a192011072116",234,"-1"
"a192011072117",235,"-1"
"cpj2011072601",236,"-1"
"prodh2011072701",237,"-1"
"rsf2011072701",238,"-1"
"acuddeh2011080401",239,"-1"
"prodesc2011081601",240,"-1"
"acuddeh2011081601",241,"-1"
"acuddeh2011081602",242,"-1"
"a192011082501",243,"-1"
"a192011082502",244,"-1"
"rsf2011082601",245,"-1"
"cpj2011082601",246,"-1"
"acuddeh2011082801",247,"-1"
"a192011083001",248,"-1"
"rsf2011090201",249,"-1"
"rsf2011090202",250,"-1"
"a192011090201",251,"-1"
"a192011090202",252,"-1"
"prodh2011090501",253,"-1"
"acuddeh2011090601",254,"-1"
"acuddeh2011091401",255,"-1"
"a192011092001",256,"-1"
"rsf2011092201",257,"-1"
"a192011092301",258,"-1"
"rsf2011092601",259,"-1"
"cpj2011092601",260,"-1"
"a192011092601",261,"-1"
"a192011092701",262,"-1"
"cpj2011092901",263,"-1"
"prodesc2011092901",264,"-1"
"acuddeh2011100301",265,"-1"
"rsf2011100501",266,"-1"
"acuddeh2011100701",267,"-1"
"prodh2011101201",268,"-1"
"acuddeh2011101201",269,"-1"
"prodh2011101401",270,"-1"
"prodesc2011101901",271,"-1"
"acuddeh2011101901",272,"-1"
"acuddeh2011102401",273,"-1"
"acuddeh2011102501",274,"-1"
"acuddeh2011102502",275,"-1"
"acuddeh2011102503",276,"-1"
"prodesc2011102601",277,"-1"
"acuddeh2011102601",278,"-1"
"acuddeh2011102602",279,"-1"
"acuddeh2011102603",280,"-1"
"prodh2011102801",281,"-1"
"acuddeh2011110201",282,"-1"
"cerezo2011110201",283,"-1"
"cpj2011110701",284,"-1"
"a192011110801",285,"-1"
"acuddeh2011110901",286,"-1"
"prodesc2011110901",287,"-1"
"cerezo2011110901",288,"-1"
"rsf2011110901",289,"-1"
"acuddeh2011111001",290,"-1"
"acuddeh2011111002",291,"-1"
"acuddeh2011111003",292,"-1"
"acuddeh2011111004",293,"-1"
